Category,Title,Link
Lietuvoje,"Juodžiausias scenarijus, apie kurį kalba analitikai: ar Izraelis ryšis pradėti plataus masto karą? (5)",https://www.delfi.lt//news/daily/lithuania/juodziausias-scenarijus-apie-kuri-kalba-analitikai-ar-izraelis-rysis-pradeti-plataus-masto-kara-120053082
Kelionės,"Lietuvių žygiui Tatruose pasibaigus tragiškai, alpinistas įspėja apie dažnai daromas klaidas: dabar lipti į viršų itin pavojinga (1)",https://www.delfi.lt/keliones/naujienos/lietuviu-zygiui-tatruose-pasibaigus-tragiskai-alpinistas-ispeja-apie-daznai-daromas-klaidas-dabar-lipti-i-virsu-itin-pavojinga-120053648
Užsienyje,„Susitarimas bus sąžiningas“: Trumpas pasisakė dėl karo Ukrainoje (10)   48,https://www.delfi.lt//news/daily/world/susitarimas-bus-saziningas-trumpas-pasisake-del-karo-ukrainoje-120053712
Kriminalai ir nelaimės,Aiškėja daugiau detalių apie Vilniuje dingusį 15-metį (1),https://www.delfi.lt//news/daily/crime/aiskeja-daugiau-detaliu-apie-vilniuje-dingusi-15-meti-120053706
Žaliasis virsmas,"Mokslininkas apie kritinę Baltijos jūros būklę: jeigu nieko nedarysime, mums tinkamos maudytis jūros neliks",https://www.delfi.lt/projektai/pulsas/zaliasis-virsmas/mokslininkas-apie-kritine-baltijos-juros-bukle-jeigu-nieko-nedarysime-mums-tinkamos-maudytis-juros-neliks-120053098
Kriminalai ir nelaimės,"Kaišiadorių rajone rasta sužalota pareigūnė, gyvybės išgelbėti nepavyko (3)   66",https://www.delfi.lt//news/daily/crime/kaisiadoriu-rajone-rasta-suzalota-pareigune-gyvybes-isgelbeti-nepavyko-120053623
Šeima,"Mano vaikas mušasi: specialistė įvertino agresyvių vaikų elgesį ir pasakė, ką turėtų žinoti mušeikų tėvai",https://www.delfi.lt/seima/psichologija/mano-vaikas-musasi-specialiste-ivertino-agresyviu-vaiku-elgesi-ir-pasake-ka-turetu-zinoti-museiku-tevai-120053514
Krepšinis,Skaudi netektis krepšinio pasaulyje: mirė NBA legenda Mutombo    59,https://www.delfi.lt/krepsinis/nba/skaudi-netektis-krepsinio-pasaulyje-mire-nba-legenda-mutombo-120053704
Video,Trečiasis SAUGU forumas: įtakingiausiųjų Lietuvoje žmonių nuomonės ir svarbiausios idėjos mūsų saugumui,https://www.delfi.lt/video/transliacijos/treciasis-saugu-forumas-itakingiausiuju-lietuvoje-zmoniu-nuomones-ir-svarbiausios-idejos-musu-saugumui-120053505
Sportas,F-1 pulsas: tirpstanti čempiono persvara ir emocingas veterano atsisveikinimas,https://www.delfi.lt/sportas/f1/f-1-pulsas-tirpstanti-cempiono-persvara-ir-emocingas-veterano-atsisveikinimas-120053703
Veidai,Įsiplieskė audringas ginčas tarp Vaido Baumilos ir realybės šou nugalėtojo Livijaus: nesutarimų priežastis – neeilinė (3)   36,https://www.delfi.lt/veidai/zmones/isiplieske-audringas-gincas-tarp-vaido-baumilos-ir-realybes-sou-nugaletojo-livijaus-nesutarimu-priezastis-neeiline-120053591
Politika,"Valstiečių kandidatas Seimo rinkimuose: homoseksualumas yra liga, o homoseksualai – gyvenimo klaidos (123)   20",https://www.delfi.lt//news/daily/politics/valstieciu-kandidatas-seimo-rinkimuose-homoseksualumas-yra-liga-o-homoseksualai-gyvenimo-klaidos-120053578
Grynas,Šie reti ir saugomi paukščiai – tikri mūsų girių karaliai: gamtininkai pasidalijo unikaliais kadrais,https://www.delfi.lt/grynas/gamta/sie-reti-ir-saugomi-pauksciai-tikri-musu-giriu-karaliai-gamtininkai-pasidalijo-unikaliais-kadrais-120053339
Verslas,Sulaukta atokvėpio: garantinio tiekimo kaina spalį mažės (1),https://www.delfi.lt/verslas/energetika/sulaukta-atokvepio-garantinio-tiekimo-kaina-spali-mazes-120052345
Politika,"Diskutuojant apie mokesčius kandidatą patraukė atvirumas: čia, matyt, niekas vis tiek nesužinos (3)",https://www.delfi.lt//news/daily/politics/diskutuojant-apie-mokescius-kandidata-patrauke-atvirumas-cia-matyt-niekas-vis-tiek-nesuzinos-120053615
Užsienyje,Įvykiai Esene vokiečiams sukėlė šoką (41)   22,https://www.delfi.lt//news/daily/world/ivykiai-esene-vokieciams-sukele-soka-120053627
Sportas,"Tragiškai pasibaigusiame ralyje važiavęs lietuvis: kaltas ne vaikinas, kuris partrenkė žmones (22)",https://www.delfi.lt/sportas/kitos-sporto-sakos/tragiskai-pasibaigusiame-ralyje-vaziaves-lietuvis-kaltas-ne-vaikinas-kuris-partrenke-zmones-120053573
Verslas,Skraidyti gali tekti kitaip: oro linijos išbando naujus maršrutus (1),https://www.delfi.lt/verslas/bloomberg/skraidyti-gali-tekti-kitaip-oro-linijos-isbando-naujus-marsrutus-120052212
Verslas,"Paskelbtos „Sodros“ išmokų datos spalį: pasitikrinkite, kada gausite",https://www.delfi.lt/verslas/mano-eurai/paskelbtos-sodros-ismoku-datos-spali-pasitikrinkite-kada-gausite-120053600
Užsienyje,"Įvardijo, kas lemia Respublikonų partijos dešinįjį kursą ir apie ką byloja skirtingos Rockefellerio bei Reagano istorijos (1)",https://www.delfi.lt//news/daily/world/ivardijo-kas-lemia-respublikonu-partijos-desiniji-kursa-ir-apie-ka-byloja-skirtingos-rockefellerio-bei-reagano-istorijos-120053613
Veidai,Mirė filmo „Beverli Hilso policininkas“ žvaigždė Johnas Ashtonas    21,https://www.delfi.lt/veidai/uzsienio-zvaigzdes/mire-filmo-beverli-hilso-policininkas-zvaigzde-johnas-ashtonas-120053450
Veidai,"Dalia Ruplėnienė – apie išėjusį vyrą ir sūnų: žinau, kad jie jau parėjo namo",https://www.delfi.lt/veidai/zmones/dalia-rupleniene-apie-isejusi-vyra-ir-sunu-zinau-kad-jie-jau-parejo-namo-120053597
Gyvenimas,Astrologės Lolitos Žukienės spalio horoskopas: turėsite išspręsti šiuos klausimus,https://www.delfi.lt/gyvenimas/anapus-tikroves/astrologes-lolitos-zukienes-spalio-horoskopas-turesite-isspresti-siuos-klausimus-120053653
Verslas,"Vokietija tokių bėdų nematė jau seniai: įspėjama, kad ruoštųsi ir Lietuvos kompanijos (34)",https://www.delfi.lt/verslas/verslas/vokietija-tokiu-bedu-nemate-jau-seniai-ispejama-kad-ruostusi-ir-lietuvos-kompanijos-120052866
Veidai,Tragiška baleto artisto žūtis kare sukrėtė kolegą Nerijų Jušką: man yra gėda (8)   36,https://www.delfi.lt/veidai/zmones/tragiska-baleto-artisto-zutis-kare-sukrete-kolega-neriju-juska-man-yra-geda-120053571
Politika,Plungės vicemerui – klausimai dėl antrų pareigų: būdamas komandiruotėje dirbo ir kitame darbe,https://www.delfi.lt//news/daily/politics/plunges-vicemerui-klausimai-del-antru-pareigu-budamas-komandiruoteje-dirbo-ir-kitame-darbe-120052824
Verslas,Daug diskusijų keliantis aliejus – nebe pigiausias (1),https://www.delfi.lt/verslas/bloomberg/daug-diskusiju-keliantis-aliejus-nebe-pigiausias-120053598
