Phone,Price per Month,Price
Apple iPhone 16,"40,80 €/mėn.",979 €
Apple iPhone 16 Plus,"47,05 €/mėn.",1 129 €
Apple iPhone 15 Pro Max,"50,38 €/mėn.",1 209 €
Apple iPhone 15 Pro,"41,63 €/mėn.",999 €
Apple iPhone 15,"29,13 €/mėn.",699 €
Apple iPhone 13,"24,13 €/mėn.",579 €
Apple iPhone 15 Plus,"37,05 €/mėn.",889 €
Apple iPhone 14,"30,80 €/mėn.",739 €
Apple iPhone 14 Plus,"32,05 €/mėn.",769 €
Apple iPhone 12,"19,96 €/mėn.",479 €
Apple iPhone SE (2022),"18,30 €/mėn.",439 €
Apple iPhone 11,"18,30 €/mėn.",439 €
Apple iPhone 16 Pro,"51,63 €/mėn.",1 239 €
Apple iPhone 16 Pro Max,"62,05 €/mėn.",1 489 €
